Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Destination_Channel,subtotal_amount_USD,total_tax_USD,net_sales_USD,store_order_number,store_number,Tip_USD
541,7.067,38.517,16.25,iOS,Delivery,Dispatch,41.85,1.96,32.63,18|20221004|0053,18,3.0
541,47.6,63.7,56.383,iOS,Delivery,Dispatch,18.98,0.93,15.48,88|20221004|0058,88,0.0
541,10.383,37.05,18.583,iOS,Delivery,Dispatch,27.57,0.72,11.97,18|20221004|0045,18,2.55
541,3.167,27.417,18.533,iOS,Delivery,Dispatch,24.99,1.19,19.78,88|20221004|0068,88,4.0
541,15.767,43.6,27.1,iOS,Delivery,Dispatch,24.36,1.17,19.52,88|20221004|0051,88,3.87
541,47.567,71.1,62.167,iOS,Delivery,Dispatch,35.2,2.17,36.14,88|20221004|0039,88,0.0
541,12.083,25.583,19.267,iOS,Delivery,Dispatch,22.98,1.19,19.78,88|20221004|0041,88,3.7
541,10.233,28.033,19.567,iOS,Delivery,Dispatch,36.97,1.79,29.77,88|20221004|0028,88,0.0
541,24.433,40.4,34.883,iOS,Delivery,Dispatch,70.96,3.87,64.56,88|20221004|0019,88,14.89
541,5.433,28.317,17.233,iOS,Delivery,Dispatch,15.98,0.96,15.98,88|20221004|0073,88,2.75
541,9.35,30.783,19.05,iOS,Delivery,Dispatch,23.08,1.33,22.18,18|20221004|0017,18,2.58
541,2.333,35.283,15.383,iOS,Delivery,Dispatch,48.14,2.83,47.14,18|20221004|0117,18,8.43
541,26.1,47.3,33.717,iOS,Delivery,Dispatch,21.98,1.08,17.98,18|20221004|0018,18,0.0
541,15.95,44.333,26.333,iOS,Delivery,Dispatch,36.15,1.69,28.15,18|20221004|0005,18,4.63
541,20.367,32.05,27.083,iOS,Delivery,Dispatch,15.99,0.96,15.98,18|20221004|0068,18,2.2
541,0.583,20.917,10.383,iOS,Delivery,Dispatch,21.78,0.47,7.79,5166|20221004|0002,5166,6.0
541,0.333,25.85,17.217,iOS,Delivery,Dispatch,23.27,1.11,18.47,5166|20221004|0050,5166,0.0
541,7.983,49.317,27.35,iOS,Delivery,Dispatch,26.47,1.32,21.97,88|20221004|0062,88,4.25
541,17.917,47.283,29.167,Android,Delivery,Dispatch,61.22,3.67,61.22,88|20221004|0054,88,11.25
541,17.417,37.983,28.467,Android,Delivery,Dispatch,28.47,1.36,22.73,5166|20221004|0039,5166,2.91
541,6.467,26.717,13.817,PapaCall,Delivery,Dispatch,18.98,1.14,18.98,88|20221004|0053,88,10.0
541,4.217,46.05,11.067,PapaCall,Delivery,Dispatch,19.48,1.17,19.48,18|20221004|0127,18,0.0
541,4.733,28.283,13.45,Mobile Web,Delivery,Dispatch,26.16,1.57,26.16,18|20221004|0126,18,0.0
541,8.55,23.117,16.05,Mobile Web,Delivery,Dispatch,18.98,0.9,14.98,18|20221004|0095,18,1.82
541,5.25,31.467,11.867,Mobile Web,Delivery,Dispatch,18.98,0.3,4.99,18|20221004|0103,18,2.1
541,13.783,36.617,21.983,Mobile Web,Delivery,Dispatch,25.56,1.23,20.56,88|20221004|0063,88,0.0
541,22.617,58.75,51.05,Mobile Web,Delivery,Dispatch,18.98,1.14,18.98,88|20221004|0078,88,2.1
541,1.7,27.533,10.633,Mobile Web,Delivery,Dispatch,21.36,1.28,21.36,18|20221004|0097,18,4.09
541,1.833,15.083,11.017,Mobile Web,Delivery,Dispatch,31.78,1.67,27.78,5166|20221004|0013,5166,5.0
541,28.2,48.3,36.45,Mobile Web,Delivery,Dispatch,34.05,1.68,28.05,5166|20221004|0010,5166,0.0
541,7.383,32.0,14.683,Desktop Web,Delivery,Dispatch,31.48,1.68,27.92,18|20221004|0070,18,5.27
541,2.167,50.35,11.367,Desktop Web,Delivery,Dispatch,27.94,1.68,27.94,88|20221004|0064,88,3.44
541,30.833,46.233,39.667,Desktop Web,Delivery,Dispatch,33.97,1.15,19.22,88|20221004|0024,88,5.8
541,8.55,25.333,17.0,Desktop Web,Delivery,Dispatch,22.98,1.11,18.48,88|20221004|0040,88,3.6
541,10.383,25.733,17.85,Desktop Web,Delivery,Dispatch,33.27,1.8,30.07,18|20221004|0052,18,4.24
541,5.217,24.133,11.717,Desktop Web,Delivery,Dispatch,22.98,1.2,19.98,18|20221004|0021,18,2.25
541,14.683,37.517,27.2,Desktop Web,Delivery,Dispatch,27.65,1.6,26.65,18|20221004|0007,18,0.0
541,8.117,22.75,15.267,Desktop Web,Delivery,Dispatch,22.76,1.19,19.78,18|20221004|0046,18,2.96
541,15.567,36.4,26.383,Desktop Web,Delivery,Dispatch,35.96,1.56,25.96,18|20221004|0100,18,4.17
541,60.15,78.2,67.333,Desktop Web,Delivery,Dispatch,19.17,1.12,18.67,18|20221004|0010,18,0.0
541,23.467,47.35,31.733,Desktop Web,Delivery,Dispatch,18.98,1.14,18.98,18|20221004|0013,18,3.0
541,1.383,25.833,10.65,Desktop Web,Delivery,Dispatch,26.77,1.28,21.32,18|20221004|0016,18,3.27
541,26.033,50.717,37.383,Traditional,Delivery,Dispatch,32.43,0.3,4.99,88|20221004|0059,88,0.0
541,1.3,20.6,10.683,Third Party Call Center - Transcom,Delivery,Dispatch,22.17,1.09,18.17,88|20221004|0055,88,2.29
541,7.133,24.817,16.033,Third Party Call Center - Transcom,Delivery,Dispatch,41.14,1.75,29.14,88|20221004|0031,88,4.71
541,23.1,44.233,35.733,Third Party Call Center - Transcom,Delivery,Dispatch,18.97,1.14,18.97,88|20221004|0052,88,0.0
541,1.25,25.7,10.3,Third Party Call Center - Transcom,Delivery,Dispatch,40.97,2.07,34.57,88|20221004|0023,88,5.0
541,27.867,55.883,35.417,Third Party Call Center - Transcom,Delivery,Dispatch,18.99,1.14,18.98,88|20221004|0050,88,0.0
541,15.983,35.217,26.117,iOS,Delivery,Dispatch,57.25,2.88,47.95,18|20230330|0105,18,7.27
541,10.8,35.15,17.533,iOS,Delivery,Dispatch,28.16,1.69,28.16,88|20230330|0078,88,0.0
541,5.95,32.183,15.483,iOS,Delivery,Dispatch,39.27,1.86,30.98,88|20230330|0054,88,0.0
541,23.85,36.75,30.517,iOS,Delivery,Dispatch,37.85,1.93,32.1,88|20230330|0077,88,0.0
541,21.433,50.55,29.967,iOS,Delivery,Dispatch,26.68,1.4,23.38,88|20230330|0047,88,5.42
541,0.883,19.9,9.65,iOS,Delivery,Dispatch,35.99,1.81,30.09,88|20230330|0079,88,4.41
