Store_dma_id,store_number,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,subtotal_amount_USD,total_tax_USD,total_discount_USD,Tip_USD
541,18,7,,14.783,iOS,Carryout,31.98,1.19,12.2,0
541,5166,5.117,,15.467,iOS,Carryout,56.87,2.64,12.85,0
541,5166,215.083,,235.683,iOS,Carryout,25.58,1.53,0,0
541,5166,63.017,,70.633,iOS,Carryout,24.28,0.97,8.17,0
541,5166,161.083,,171.4,iOS,Carryout,47.26,1.38,24.3,0
541,18,16.383,,23.767,iOS,Carryout,20.86,0.94,5.22,0
541,18,49.467,,57.35,iOS,Carryout,34.74,1.16,15.46,0
541,18,6.817,,14.85,iOS,Carryout,30.08,1.07,12.2,0
541,18,24.517,,31.833,iOS,Carryout,22.08,0.96,6.1,0
541,5166,110.767,,110.767,iOS,Carryout,2.99,0,2.99,0
541,5166,2.467,,20.85,iOS,Carryout,25.77,1.01,9.02,0
541,18,6.417,,14.817,iOS,Carryout,14.09,0.48,6.1,0
541,18,17.483,,30.383,iOS,Carryout,23.06,1.38,0,0
541,88,143.05,,153.117,iOS,Carryout,15.99,0.72,4,0
541,18,146.283,,154.767,iOS,Carryout,27.06,1.38,4.1,3.73
541,5166,4.233,,19.1,iOS,Carryout,21.29,1.08,3.3,0
541,88,58.267,,69.083,iOS,Carryout,31.27,1.43,7.4,0
541,18,72.3,,78.933,iOS,Carryout,14.09,0.17,11.34,0
541,5166,13.517,,25.833,iOS,Carryout,26.88,1.29,5.38,0
541,18,78.967,,91.45,iOS,Carryout,19.79,0.9,4.8,0
541,88,43.033,,50.867,iOS,Carryout,28.18,0.96,12.2,0
541,5166,137.633,,146.733,iOS,Carryout,26.58,1.2,6.65,0
541,5166,185.8,,193.1,iOS,Carryout,22.67,0.51,14.09,0
541,88,9.783,,17.55,iOS,Carryout,21.29,1.28,0,0
541,88,114.833,,129.067,iOS,Carryout,34.87,1.5,9.9,4.95
541,18,32.967,,41.9,iOS,Carryout,48.66,2.4,8.69,0
541,18,17.067,,24.667,iOS,Carryout,26.07,0.72,14.02,0
541,18,4.45,,12.233,iOS,Carryout,21.58,0.93,6.1,1.64
541,18,94.367,,103.783,iOS,Carryout,27.28,1.23,6.82,0
541,5166,9.333,,17.15,iOS,Carryout,14.09,0.48,6.1,0
541,18,16.967,,24.983,iOS,Carryout,17.09,0.24,13.1,0
541,5166,12.5,,24.633,iOS,Carryout,40.14,1.36,17.54,0
541,5166,108.65,,119.317,iOS,Carryout,33.06,1.43,9.27,4.96
541,5166,25.717,,44.617,iOS,Carryout,29.82,0.77,17.06,0
541,18,88.183,,97.117,iOS,Carryout,22.58,1.35,0,0
541,18,5.633,,14.067,iOS,Carryout,42.27,0.84,28.3,0
541,18,0,,38.917,iOS,Carryout,60.56,2.73,15.14,0
541,5166,10.167,,18.933,iOS,Carryout,14.09,0.48,6.1,0
541,88,101.233,,115.267,iOS,Carryout,33.08,1.77,3.6,6.24
541,88,158.817,,165,iOS,Carryout,7.99,0,7.99,0
541,5166,13.55,,26.117,iOS,Carryout,28.18,0.06,27.2,2
541,18,7.683,,14.283,iOS,Carryout,14.09,0.48,6.1,0
541,5166,72.4,,79.3,iOS,Carryout,17.89,1.07,0,0
541,5166,5.517,,19.7,iOS,Carryout,36.28,0.23,32.49,0
541,5166,14.767,,27.9,iOS,Carryout,35.78,1.65,8.29,0
541,88,11.283,,20.833,iOS,Carryout,19.38,0.84,5.4,2.67
541,88,261.8,,270.2,iOS,Carryout,79.37,3.1,27.7,0
541,18,61.05,,70.7,iOS,Carryout,30.58,1.38,7.65,0.69
541,5166,0.783,,18.833,iOS,Carryout,21.08,0.9,6.1,0
541,18,7.4,,19.7,iOS,Carryout,36.58,1.74,7.61,0
541,5166,12.017,,22.767,iOS,Carryout,41.36,1.8,11.4,0
541,5166,2.033,,25.367,iOS,Carryout,134.95,6.07,33.74,0
541,18,3.267,,12.4,iOS,Carryout,20.06,0.84,6.1,0
541,5166,162.983,,171.533,iOS,Carryout,15.99,0.59,6.1,2.11
541,5166,83.433,,102.517,iOS,Carryout,27.74,1.42,4.1,4.16
541,88,182.783,,190.467,iOS,Carryout,32.38,1.38,9.4,0
541,5166,41.017,,58.933,iOS,Carryout,17.09,0.66,6.1,0
541,18,2.45,,10.217,iOS,Carryout,14.09,0.85,0,0
541,5166,4.25,,17.317,iOS,Delivery,121.48,5.67,27,26.87
541,5166,7.033,,21.717,iOS,Delivery,84.23,4.1,15.96,0
541,5166,11.917,42.8,28.033,iOS,Delivery,20.48,0.99,4,2.4
541,5166,17.35,49.3,28.833,iOS,Delivery,30.46,1.83,0,0
541,18,1.733,18.433,9.483,iOS,Delivery,19.08,0.93,3.52,2.82
541,88,2.817,,10.4,iOS,Delivery,34.91,1.82,4.52,5
541,88,4.833,21.817,11.6,iOS,Delivery,19.08,1.15,0,2.82
541,18,4.05,28.967,13.45,iOS,Delivery,22.88,1.11,4.47,0
541,88,3.8,,15.3,iOS,Delivery,35.46,2.13,0,0
541,18,0.467,,11.85,iOS,Delivery,40.35,1.93,8.2,6.63
541,88,6.133,19.2,16.067,iOS,Delivery,30.57,1.83,0,0
541,5166,2.75,20.217,12.633,iOS,Delivery,30.55,1.65,3.1,6.04
541,88,3.217,22,11.367,iOS,Delivery,53.16,3.07,2,7.23
541,88,9.3,28.067,18.717,iOS,Delivery,34.77,1.77,5.3,5.96
541,88,5.117,24.15,15.383,iOS,Delivery,32.59,2.01,-0.95,7.14
541,88,9.55,35.433,17.95,iOS,Delivery,35.13,1.66,7.4,0
541,5166,6.167,22.067,13.767,iOS,Delivery,14.48,0.75,2,1.5
541,88,42.533,58.85,49.783,iOS,Delivery,40.56,2.19,4.1,0
541,88,6.667,46.45,19.4,iOS,Delivery,65.25,3.29,10.49,8.75
541,18,3.317,19.3,10.95,iOS,Delivery,19.08,0.98,2.82,1
541,88,0.45,16.75,8.5,iOS,Delivery,40.26,2.11,5.1,6.03
541,5166,14.317,31.717,23,iOS,Delivery,34.86,1.19,15.09,4.56
541,5166,11.333,25.717,20.167,iOS,Delivery,18.58,0.9,3.52,2.82
541,5166,2.467,19.3,12.733,iOS,Delivery,48.81,2.06,14.44,7
541,18,1.6,,11.783,iOS,Delivery,32.56,1.14,13.6,3.85
541,18,2.233,19.45,9.35,iOS,Delivery,13.07,0.78,0,1.21
541,18,3.567,38.15,11.733,iOS,Delivery,12.48,0.64,1.87,0
541,18,3.95,32.133,12.667,iOS,Delivery,39.74,2.39,0,5.21
541,18,7.2,25.367,15.383,iOS,Delivery,29.18,1.39,6.05,3.63
541,18,1.333,,16.033,iOS,Delivery,35.36,1.98,2.3,6.07
541,18,9.5,23.367,16.033,iOS,Delivery,19.08,0.96,3.1,5
541,18,3.667,16.75,11.933,iOS,Delivery,40.85,1.95,8.29,0
541,18,0.117,15.567,8.317,iOS,Delivery,28.77,1.23,8.2,0
541,18,15.8,,24.95,iOS,Delivery,24.57,1.44,0.5,2.94
541,18,10.383,,22.4,iOS,Delivery,36.84,1.82,6.6,5
541,18,1.95,20.9,9.867,iOS,Delivery,30.56,1.05,13.1,3.55
541,18,6.25,24.2,15.783,iOS,Delivery,22.08,0.54,13.1,2.28
541,18,6.117,26.85,17.833,iOS,Delivery,88.82,4.2,18.76,5
541,18,11.867,41.483,21.95,iOS,Delivery,35.56,1.73,6.7,5
541,18,2.45,20.8,11.217,iOS,Delivery,22.08,1.08,4.1,2.56
541,5166,8.15,29.433,16.45,iOS,Delivery,25.47,1.2,5.4,2.91
541,5166,2.467,16.767,10.633,iOS,Delivery,41.15,1.59,14.64,5.5
541,5166,16.067,40.367,35.1,iOS,Delivery,42.38,2.07,7.9,4
541,5166,0,26.133,9.117,iOS,Delivery,57.74,1.77,28.31,10.65
541,5166,5.417,20.6,14.617,iOS,Delivery,15.47,0.93,0,1.65
541,5166,7.933,30.933,23.717,iOS,Delivery,29.76,1.79,0,3.79
541,5166,7.1,33.683,23.55,iOS,Delivery,36.87,1.83,6.39,4.57
541,88,16.117,41.767,29.467,iOS,Delivery,57.04,3.24,3.1,3
541,88,3.733,23.7,13.833,iOS,Delivery,32.47,1.95,0,5.5
541,88,6.1,38.75,17.767,iOS,Delivery,34.35,1.67,6.5,5.11
541,88,11.55,25.567,18.117,iOS,Delivery,19.08,1.15,0,6
541,5166,4.067,50.817,27.367,iOS,Delivery,22.78,1.17,3.3,4.57
541,18,31.217,,40.733,Android,Carryout,56.95,1.95,24.4,7.4
541,5166,50.567,,79.433,Android,Carryout,94.21,3.6,34.27,0
541,18,1.467,,9.083,Android,Carryout,22.26,0.85,8.1,0
541,88,41.733,,59.3,Android,Carryout,46.47,1.26,25.5,0
541,88,168.367,,179.783,Android,Carryout,49.87,1.89,18.3,0
541,5166,11.367,,20.95,Android,Carryout,42.14,1,25.54,0
541,18,2.133,18.95,12.867,Android,Delivery,34.17,1.61,7.3,4.38
541,88,0.267,17.35,10.05,Android,Delivery,55.06,3.3,0,5
541,5166,0.55,20.1,11.933,Android,Delivery,45.26,2.2,8.6,5
541,18,12.4,28.867,19.2,Android,Delivery,20.26,1.03,3.1,0
541,88,10.133,27.667,17.883,Android,Delivery,43.14,2.1,8.2,0
