Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
16.41,11.1,11.034296321352507
20.44,19.45,13.428900806741808
63.660000000000004,25.6,14.857665923256505
19.830000000000002,17.25,13.290846463700433
22.11,5.883,9.163437514218572
24.03,9.6,10.717784358955143
16.41,16.217,11.799518959879386
36.279999999999994,1.067,8.685027409516344
32.08,0.6,9.012099536053135
16.94,10.817,13.09928137168668
23.82,2.883,11.1388330618611
45.19,1.933,5.302978012205891
19.59,12.7,7.103478898361274
20.22,10.433,13.316697808297441
32.15,5.75,9.927912199033706
19.060000000000002,3.15,10.582625319471013
66.41,10.8,16.378425005569163
0.0,7.217,11.976405019190835
24.220000000000002,5.717,8.532330876849876
26.47,5.517,12.392508216685052
22.05,16.65,10.132561928603195
24.98,20.767,10.733386219082213
21.18,7.25,13.477952075977164
30.07,0.417,10.675125139882638
27.259999999999998,3.45,9.998469891063579
35.58,5.3,12.996369112271665
48.99,9.817,7.890805699571914
20.11,0.117,13.309406403411103
21.69,12.083,11.54538325874443
60.769999999999996,7.683,6.151992105738451
37.59,11.6,8.852411164586599
32.75,16.867,8.581267286959921
25.69,4.567,7.151851087886698
29.75,0.0,9.37182464605577
24.36,1.5,13.591119774019568
27.52,12.717,13.898202139426019
47.4,15.283,8.812252620685356
21.380000000000003,25.35,13.491209175770507
17.04,53.75,13.105909921583347
42.85,1.117,9.136633088012324
87.31,24.233,8.453201156335432
20.970000000000002,2.683,13.366411932522468
21.18,35.7,13.380331887305474
20.12,11.067,9.380201875878377
15.219999999999999,17.1,11.478989961837371
27.29,6.05,7.2740178365181904
28.6,9.867,5.91481533592188
27.13,6.9,9.352549252986208
50.79,2.783,5.094218596167451
17.94,8.717,9.152841163226256
33.24,11.067,10.989964848458115
26.12,3.417,9.680294681006863
22.849999999999998,17.817,11.003001838544947
20.85,14.067,11.747462644168827
22.09,7.35,8.074690160016836
31.34,33.717,12.715318596652871
20.64,1.217,7.978576186515127
44.1,9.95,14.997215712293851
19.07,13.233,11.420045102306013
20.85,32.683,13.456077861318157
74.06,12.2,12.15014417590318
28.16,14.933,9.91313728757062
28.24,32.7,10.542869167207044
20.89,19.9,7.9951475612568
23.479999999999997,4.65,11.067966141358092
37.46,19.25,14.459459810483295
23.31,3.517,10.88044864036425
20.11,0.367,10.490165103575244
30.7,4.067,11.594877294751974
