,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
0,541,3.567,,11.15,iOS,Carryout,15.99,0.0
1,541,2.55,,14.6,iOS,Carryout,18.09,1.48
2,541,0.383,,9.133,iOS,Carryout,15.99,0.0
3,541,54.167,,63.3,iOS,Carryout,42.28,0.0
4,541,78.417,,86.733,iOS,Carryout,25.08,0.0
5,541,40.233,,47.75,iOS,Carryout,19.97,0.0
6,541,120.883,,129.2,iOS,Carryout,14.09,0.0
7,541,15.317,,24.567,iOS,Carryout,14.98,0.0
8,541,35.967,,46.2,iOS,Carryout,22.38,0.0
9,541,75.783,,85.867,iOS,Carryout,22.38,0.0
10,541,12.467,,20.3,iOS,Carryout,14.09,0.0
11,541,102.967,,109.517,iOS,Carryout,17.09,0.0
12,541,178.867,,185.767,iOS,Carryout,14.09,0.0
13,541,3.233,,10.25,iOS,Carryout,14.09,0.0
14,541,204.667,,211.633,iOS,Carryout,14.09,0.0
15,541,121.217,,128.35,iOS,Carryout,14.09,0.0
16,541,46.083,,54.383,iOS,Carryout,34.87,0.0
17,541,53.333,,60.317,iOS,Carryout,14.09,0.0
18,541,3.967,18.717,12.9,iOS,Delivery,25.35,0.0
19,541,0.4,20.4,10.183,iOS,Delivery,27.57,5.24
20,541,1.683,21.867,14.583,iOS,Delivery,34.97,0.0
21,541,2.833,18.7,11.233,iOS,Delivery,34.26,4.39
22,541,6.317,25.5,12.767,iOS,Delivery,19.08,1.83
23,541,3.733,22.65,13.583,iOS,Delivery,46.66,3.5
24,541,1.05,21.483,11.733,iOS,Delivery,40.37,6.7
25,541,1.717,19.683,9.333,iOS,Delivery,25.57,0.0
26,541,0.1,18.183,11.217,iOS,Delivery,17.47,0.0
27,541,0.283,16.733,9.95,iOS,Delivery,39.27,0.0
28,541,3.083,20.0,11.733,iOS,Delivery,44.05,0.6
29,541,3.383,21.717,10.467,iOS,Delivery,34.73,4.46
30,541,131.65,,142.167,Android,Carryout,36.44,0.0
31,541,19.183,,26.683,Android,Carryout,29.97,1.16
32,541,278.667,,286.483,Android,Carryout,17.78,0.0
33,541,16.117,,23.817,Android,Carryout,23.78,0.0
34,541,237.85,,245.7,Android,Carryout,14.09,0.0
35,541,5.367,26.25,14.083,Android,Delivery,33.27,0.0
36,541,7.117,25.183,16.917,Android,Delivery,45.44,0.0
37,541,3.35,16.683,11.833,Android,Delivery,30.26,3.79
38,541,27.083,50.3,37.933,Android,Delivery,44.4,0.0
39,541,6.417,18.833,12.85,Android,Delivery,23.28,0.0
40,541,104.717,,115.067,DoorDash,Delivery,23.58,0.0
41,541,56.85,,64.967,DoorDash,Delivery,27.94,0.0
42,541,206.15,,213.45,DoorDash,Delivery,16.98,0.0
43,541,18.683,,26.833,DoorDash,Delivery,15.86,0.0
44,541,23.233,,33.1,DoorDash,Delivery,28.82,0.0
45,541,52.383,,60.233,DoorDash,Delivery,13.57,0.0
46,541,30.583,,37.383,DoorDash,Delivery,15.48,0.0
47,541,267.85,,267.85,DoorDash,Delivery,3.69,0.0
48,541,65.733,,72.517,DoorDash,Delivery,15.99,0.0
49,541,213.033,,220.667,DoorDash,Delivery,15.97,0.0
50,541,109.6,,117.183,DoorDash,Delivery,16.58,0.0
51,541,7.85,,22.55,DoorDash,Delivery,45.46,0.0
52,541,64.7,,73.6,DoorDash,Delivery,20.18,0.0
53,541,3.717,,14.383,DoorDash,Delivery,23.48,0.0
54,541,10.2,,17.367,DoorDash,Delivery,17.98,0.0
55,541,108.25,,115.367,DoorDash,Delivery,28.16,0.0
